# Created by M.D. Woods -- 2025-02-19 11:45:13.403520 -- NUM TARGETS: 157
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu,mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, peak_mag, peak_mag_err
2005kc,CSP, norm, SNPY, 338.53058, 5.56842, 0.0151, 0.01329364736220897, 53687.52, 53728.54, 33.93507156764404, 0.015948964112905424, 10.860521014844817, 0.00028121941506437646, 53698.29898521293, 0.0637936283033478, 0.9001749973559647, 0.008645429881053539, 0.33593672835687377, 0.008733462128168864, 15.930104166666666, 0.016770833333333336
2009Y,CSP, norm, SNPY, 220.59937, -17.24678, 0.0094, 0.010706907095676357, 54868.84, 54976.65, 32.92390351298757, 0.02160551808001764, 10.154204462082083, 0.0003139066959013028, 54876.564761676564, 0.1086864874820277, 1.1891098502564434, 0.012961464379584474, 0.15909897382315139, 0.012415457173735208, 14.576454545454549, 0.009090909090909092
2004gs,CSP, norm, SNPY, 129.59658, 17.62772, 0.0267, 0.027435210850770577, 53352.85, 53461.56, 35.507286232835476, 0.008219371202144643, 10.524491610792518, 0.0008337715580172614, 53356.98852899213, 0.0393768182441188, 0.6979897572199817, 0.004375261879758557, 0.17599205647715535, 0.005793352347854626, 17.42813333333333, 0.011033333333333336
2008gp,CSP, norm, SNPY, 50.75304, 1.36189, 0.0334, 0.03167402440739755, 54768.75, 54844.52, 35.663007958049675, 0.011652002716105787, 10.825626853900289, 0.0008195866476426455, 54779.557384677, 0.05004752229224787, 0.9731185476050969, 0.005387107788455072, 0.02185105235050105, 0.0052508450886528425, 17.139885714285715, 0.03025714285714286
2007ca,CSP, norm, SNPY, 202.77421, -15.10183, 0.0141, 0.01573506004471542, 54217.65, 54275.65, 34.31591174345418, 0.016175220732823816, 9.100726295715653, 0.002123969178416933, 54227.838305024015, 0.09044306249774532, 1.0622820765605914, 0.012013954630084495, 0.35694498469894714, 0.006377214463725555, 15.971552631578946, 0.012000000000000002
2009al,CSP, norm, SNPY, 162.84196, 8.57853, 0.0221, 0.023294362182977906, 54891.71, 54973.54, 34.718583602037164, 0.03274902604887233, 10.676596531095123, 0.0005467162453691708, 54897.35134767054, 0.40255127829491405, 0.918772255200639, 0.017003921020121597, 0.2847227996373591, 0.016308332510975253, 16.522230769230767, 0.02184615384615385
2005ki,CSP, norm, SNPY, 160.11758, 9.20233, 0.0192, 0.02089863059249082, 53695.86, 53861.5, 34.63596041007251, 0.006697018443688941, 10.709160295771582, 0.00038088954032225003, 53705.833422423784, 0.03971442445786499, 0.8269040948486545, 0.003240044733046115, 0.015472527051391901, 0.004118618329832562, 16.143395348837206, 0.019139534883720933
2006lu,CSP, norm, SNPY, 138.82346, -25.60008, 0.0534, 0.055620130964522146, 54040.84, 54137.75, 36.85392985337046, 0.015232101894707448, 10.312301203111709, 0.0032468771455692633, 54034.851196152464, 0.17697246189239477, 1.0575250645564795, 0.008707644737032283, -0.002898191859387918, 0.0062167708661711694, nan, nan
2006ev,CSP, norm, SNPY, 322.74692, 13.98922, 0.0287, 0.027057648172410083, 53993.59, 54039.52, 35.6419828612548, 0.012547661895696553, 10.748696257484479, 0.0007780565778547196, 53990.08334818404, 0.23498152283734472, 0.8450281177792285, 0.007341677530710036, 0.22254397546609048, 0.008798768325739916, 17.527727272727272, 0.05054545454545455
2006gj,CSP, norm, SNPY, 49.39917, -1.69172, 0.0284, 0.027522378443683507, 53998.83, 54096.59, 35.618713747751336, 0.0127509215064516, 10.669635209313917, 0.0012479558890463075, 54001.0212778491, 0.07149184066932232, 0.6513950308888747, 0.008874470742631419, 0.26797332256934187, 0.011508553587789492, 17.846, 0.02627272727272727
2007so,CSP, norm, SNPY, 41.92971, 13.25411, 0.0297, 0.02810944220821825, 54449.68, 54494.53, 35.32729094013442, 0.203346800433612, 11.033429337365888, 0.0007662393052439184, 54443.25390840096, 1.971251498919133, 1.1128518525463522, 0.1446483081802749, 0.7965929278669142, 0.10449717286534108, nan, nan
2007hj,CSP, norm, SNPY, 345.44954, 15.5865, 0.0141, 0.01253675418055466, 54348.76, 54440.53, 33.89967366775967, 0.009607241095838031, 10.38832624078401, 0.0005651865386335664, 54350.35661256497, 0.05358671027674169, 0.6169428684829377, 0.00595156959688473, 0.10590141336473533, 0.008444937717331482, 15.997678571428569, 0.009142857142857144
2007ol,CSP, norm, SNPY, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, 37.13344647141549, 0.0626700561866543, 10.289335360151146, 0.0023866700569406345, 54413.53685947355, 0.22378406190058497, 0.7154493344511198, 0.04302679663927745, -0.08972177462595989, 0.046003077424151315, 18.273368421052634, 0.032421052631578955
