# Created by M.D. Woods -- 2025-03-11 22:57:19.988399 -- NUM TARGETS: 37
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2008go, CSP, NORM, SNPY, 332.68679, -20.78811, 0.0623, 0.06071935029480737, 54764.54, 54776.58, 36.978409834014705, 0.025412143506163495, 10.908950503065558, 0.0017321529641886853, 54766.36885799392, 0.26642419233238207, 0.9096621975191139, 0.031946667547639196, 0.11190295890476666, 0.012049192356247755, nan, nan, 18.461103448275864, 0.028586206896551718
2006hx, CSP, NORM, SNPY, 18.48879, 0.37167, 0.0455, 0.043686906440237296, 54012.66, 54080.59, 36.17583267351882, 0.04890484741416997, 10.307434104151445, 0.0019476582498743804, 54022.48826241682, 0.15533619808853377, 0.9538421004000873, 0.021001343510481472, 0.24558434570034426, 0.025440024762880747, nan, nan, nan, nan
2004gc, CSP, NORM, SNPY, 80.45812, 6.67603, 0.0321, 0.031225951967474352, 53329.83, 53397.66, 35.370964775253945, 0.019106011786800787, 12.062701043577428, 0.013400455258840153, 53325.73343672902, 0.3254915433466112, 0.918223518069273, 0.010045127333876363, 0.23838241178836686, 0.010414183591832986, nan, nan, 17.477600000000002, 0.015799999999999998
2008gl, CSP, NORM, SNPY, 20.22842, 4.80531, 0.034, 0.0327425449641292, 54765.7, 54844.55, 35.714508223767716, 0.0073934025533813705, 11.359976556285138, 0.0066667387890840925, 54768.64878680737, 0.05418845271013837, 0.8505252680878439, 0.0042813816429473975, 0.09145041956510393, 0.0041880243122368365, nan, nan, 17.297520833333333, 0.03352083333333333
2009al, CSP, NORM, SNPY, 162.84196, 8.57853, 0.0221, 0.023294362182977906, 54891.71, 54973.54, 34.718583602037164, 0.03274902604887233, 10.676596531095123, 0.0005467162453691708, 54897.35134767054, 0.40255127829491405, 0.918772255200639, 0.017003921020121597, 0.2847227996373591, 0.016308332510975253, nan, nan, 16.522230769230767, 0.02184615384615385
2005mc, CSP, NORM, SNPY, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, 35.18928649760787, 0.015191207491702621, 13.004227849812548, 0.0005277710097430307, 53734.69771825702, 0.17514018341375504, 0.6379970029318897, 0.01012146659907502, 0.25316246296635536, 0.014085350302184206, nan, nan, 17.485722222222222, 0.014944444444444446
2006ej, CSP, NORM, SNPY, 9.74904, -9.01572, 0.0205, 0.018069132857789685, 53979.74, 54046.74, 34.74186245491007, 0.012488109657417734, 10.279706103453293, 0.0008070475039513622, 53976.76437180644, 0.1500747252357769, 0.8248134769705228, 0.00455499898933787, 0.033548126418583235, 0.0060632209149223655, nan, nan, 16.3308, 0.022200000000000004
2008hu, CSP, NORM, SNPY, 122.3115, -18.65364, 0.0497, 0.05062355274683058, 54804.74, 54844.84, 36.74249398089291, 0.01629531682195444, 10.107881298730984, 0.007118355222168162, 54807.08795840992, 0.17177442156492442, 0.7821506029051686, 0.008034977025237857, 0.0461172147084617, 0.011376107430116791, nan, nan, 18.38605882352941, 0.019529411764705882
2004gs, CSP, NORM, SNPY, 129.59658, 17.62772, 0.0267, 0.027435210850770577, 53352.85, 53461.56, 35.507286232835476, 0.008219371202144643, 10.524491610792518, 0.0008337715580172614, 53356.98852899213, 0.0393768182441188, 0.6979897572199817, 0.004375261879758557, 0.17599205647715535, 0.005793352347854626, nan, nan, 17.42813333333333, 0.011033333333333336
2007ol, CSP, NORM, SNPY, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, 37.13344647141549, 0.0626700561866543, 10.289335360151146, 0.0023866700569406345, 54413.53685947355, 0.22378406190058497, 0.7154493344511198, 0.04302679663927745, -0.08972177462595989, 0.046003077424151315, nan, nan, 18.273368421052634, 0.032421052631578955
2006py, CSP, NORM, SNPY, 340.42521, -0.13692, 0.0579, 0.05601258319892767, 54069.54, 54091.54, 36.8159916864579, 0.02523850410676549, 9.823198012980697, 0.0067542707073111165, 54071.47348466659, 0.2877643673140179, 0.9455341737991837, 0.025975315847736383, 0.1286320490992571, 0.014183065257357467, nan, nan, 18.246777777777776, 0.026833333333333334
2006kf, CSP, NORM, SNPY, 55.46033, 8.15694, 0.0213, 0.020907167417895983, 54036.81, 54127.64, 34.81756291886544, 0.010777933435686898, 10.847440404300489, 0.0005624670042569112, 54041.84880351653, 0.052170061654373, 0.7319059319619162, 0.005640324981048522, 0.011447564816404084, 0.007883083903693477, nan, nan, 16.73708, 0.030220000000000004
2007jd, CSP, NORM, SNPY, 44.97237, 1.16072, 0.0726, 0.07177108634805818, 54362.83, 54409.83, 37.5881292527764, 0.03723293424856133, 10.066482342060203, 0.004639021074210903, 54361.42249233345, 0.8300983185488029, 0.9073026761819666, 0.02728844778906204, 0.1898406308403697, 0.018577846380356953, nan, nan, 19.28278571428572, 0.03850000000000001
2005ku, CSP, NORM, SNPY, 344.92754199999996, 0.013694, 0.0454, 0.043721915471377965, 53699.56, 53739.53, 36.32699264840969, 0.041490952488767364, 7.895610204112348, 0.07249326233311687, 53699.38057473766, 0.5458709988700196, 0.9563203126840502, 0.03459260833245445, 0.2029952791383844, 0.01895691636390832, nan, nan, 17.93123076923077, 0.02876923076923077
2007jg, CSP, NORM, SNPY, 52.46175, 0.05683, 0.0371, 0.03563979279026823, 54363.82, 54425.78, 36.22073651676566, 0.015658002255394498, 8.983217199440995, 0.01518488169616929, 54366.73532537131, 0.12110005048038325, 0.9308398484441844, 0.009161794526646094, 0.1207385359114348, 0.007843436904466853, nan, nan, 17.761333333333333, 0.014933333333333335
2008ar, CSP, NORM, SNPY, 186.158, 10.83817, 0.0261, 0.025862064927696226, 54527.79, 54627.59, 35.25398749997325, 0.014368500649098717, 10.102752183811647, 0.001262498820507511, 54535.12702764391, 0.05994237727260531, 0.9743647101823285, 0.006765197542970969, 0.11001136788406837, 0.006361737196383815, nan, nan, 17.275375, 0.036125000000000004
2006ob, CSP, NORM, SNPY, 27.95046, 0.26342, 0.0592, 0.057498350534683176, 54060.65, 54121.57, 37.04077966745066, 0.01984605815890772, 11.3688972447224, 0.0010849287166291976, 54064.09247295061, 0.12003784500390816, 0.7271157335497185, 0.01006330685317284, 0.02213182074361059, 0.014120976964513213, nan, nan, 18.57029411764706, 0.03452941176470588
