# Created by M.D. Woods -- 2025-02-19 15:39:54.991390 -- NUM TARGETS: 63
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, peak_mag, peak_mag_err
2004gs, CSP, norm, SALT, 129.59658, 17.62772, 0.0267, 0.027435210850770577, 53352.85, 53461.56, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614, 53356.36578071601, 4.506946061155759e-05, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 17.390666666666664, 0.010875000000000001
2008gp, CSP, norm, SALT, 50.75304, 1.36189, 0.0334, 0.03167402440739755, 54768.75, 54844.52, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455, 54779.725451022896, 0.012382852957671275, -0.0038670460674539164, 0.013909196876857877, 0.07613356853628965, 0.001660317749945028, 17.139885714285715, 0.03025714285714286
2009al, CSP, norm, SALT, 162.84196, 8.57853, 0.0221, 0.023294362182977906, 54891.71, 54973.54, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708, 54896.99799795559, 0.07213045713069732, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 16.522230769230767, 0.02184615384615385
2005ki, CSP, norm, SALT, 160.11758, 9.20233, 0.0192, 0.02089863059249082, 53695.86, 53861.5, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003, 53705.79588465526, 0.011874254283611663, -1.5041658811472836, 0.008247488892276222, -0.016907059947006545, 0.0013820237127165666, 16.143395348837206, 0.019139534883720933
2006lu, CSP, norm, SALT, 138.82346, -25.60008, 0.0534, 0.055620130964522146, 54040.84, 54137.75, 37.16415433055789, 0.011474459633523308, 10.312301203111709, 0.0032468771455692633, 54039.181600342075, 6.527065488626249e-05, -0.2076804821813072, 0.026625436988664264, 0.09154391614577453, 0.0033684396349680716, 18.351785714285715, 0.0345
2005mc, CSP, norm, SALT, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307, 53730.68518790677, 0.07945568033392192, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, nan, nan
2006kf, CSP, norm, SALT, 55.46033, 8.15694, 0.0213, 0.020907167417895983, 54036.81, 54127.64, 35.190429047116716, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112, 54041.56963337621, 0.020113201269850833, -2.178588564444184, 0.013911577340777859, 0.24449066990957027, 0.0018475066543965238, 16.769125, 0.02792857142857143
2008hu, CSP, norm, SALT, 122.3115, -18.65364, 0.0497, 0.05062355274683058, 54804.74, 54844.84, 37.055289127596566, 0.011791399589664067, 10.107881298730984, 0.007118355222168162, 54806.52587914869, 0.06575811278526089, -1.7416648993482342, 0.028832569192155377, 0.09448831641309158, 0.0032928777163547117, 18.38605882352941, 0.019529411764705882
2006ob, CSP, norm, SALT, 27.95046, 0.26342, 0.0592, 0.057498350534683176, 54060.65, 54121.57, 37.236600202317625, 0.016912655466655966, 11.3688972447224, 0.0010849287166291976, 54063.73820131073, 0.08433942014744389, -2.1061318283493313, 0.047427731252843275, 0.06636868331850755, 0.004799550999741815, 18.57029411764706, 0.03452941176470588
2005na, CSP, norm, SALT, 105.40258, 14.13325, 0.0263, 0.026774414619526062, 53738.71, 53834.54, 35.45063268080756, 0.005566948757439965, 10.902842205220578, 0.000773697241361911, 53741.41572909347, 0.03427427385759074, -0.31625435511900113, 0.016539203495372357, 0.0645148211549741, 0.0015156859827520851, 16.400875, 0.009083333333333334
2005bg, CSP, norm, SALT, 184.32158, 16.37156, 0.0231, 0.02433405890479978, 53471.65, 53512.61, 35.375852228521595, 0.007508253711838855, 9.797047393282007, 0.0010007345933335352, 53469.75534339267, 0.05869353608795791, 0.7976471455114731, 0.02974209928082061, 0.04979246975343311, 0.001774886459576292, 16.197849999999995, 0.008450000000000001
2007jd, CSP, norm, SALT, 44.97237, 1.16072, 0.0726, 0.07177108634805818, 54362.83, 54409.83, 37.90180343119706, 0.02510844097633304, 10.066482342060203, 0.004639021074210903, 54362.03881062486, 0.23482054331543623, -0.7927233602020672, 0.09090299463638096, 0.1863549187630104, 0.00628195765448917, 19.28278571428572, 0.03850000000000001
2007hx, CSP, norm, SALT, 31.61283, -0.89953, 0.0794, 0.07815815293563175, 54354.78, 54411.73, 38.231460175644976, 0.024356460303387954, 10.947106485783687, 0.006470108825979771, 54354.7747996948, 0.1920666701371374, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 19.395214285714285, 0.04214285714285715
2005ir, CSP, norm, SALT, 19.18233, 0.79456, 0.0763, 0.07483568707396476, 53682.62, 53740.53, 37.865567741232354, 0.018953066962354975, 10.12736126558582, 0.0032889795740147407, 53685.60926368374, 0.11838876311594504, 0.8554996812359317, 0.0830520946010721, 0.07415544014890219, 0.004402753966961502, 18.63730434782609, 0.027478260869565223
2008hj, CSP, norm, SALT, 1.00796, -11.16875, 0.0379, 0.03630007089767819, 54794.58, 54834.55, 36.30202783984328, 0.006242779839308932, 10.973017153863509, 0.002418117405834231, 54802.31272216376, 0.018962492235004902, 0.43511919480597183, 0.021748608894467947, 0.03183716715124947, 0.0016410263970638133, 17.229261904761902, 0.014666666666666666
2009D, CSP, norm, SALT, 58.59512, -19.18172, 0.025, 0.025176933598204172, 54834.67, 54890.52, 35.28203387758296, 0.003708032009463258, 10.288567554002853, 0.000981265532668124, 54841.83334037175, 0.014458404832112137, 0.719641050550609, 0.010630098286362744, 0.05787338582397671, 0.0010238737246080754, 16.255787878787878, 0.013212121212121213
2008gl, CSP, norm, SALT, 20.22842, 4.80531, 0.034, 0.0327425449641292, 54765.7, 54844.55, 35.94992430741414, 0.005358006595284328, 11.359976556285138, 0.0066667387890840925, 54768.5065886941, 0.027576255964959273, -1.2225594322570954, 0.01431904550654195, 0.0619796707740336, 0.0015246050360357144, 17.297520833333333, 0.03352083333333333
2008ar, CSP, norm, SALT, 186.158, 10.83817, 0.0261, 0.025862064927696226, 54527.79, 54627.59, 35.56507723398275, 0.007438903660560424, 10.102752183811647, 0.001262498820507511, 54535.24245274199, 0.020211686147376895, -0.0462003794961352, 0.017862804762784623, 0.06811114579158367, 0.002047550533696283, 17.275375, 0.036125000000000004
2006ej, CSP, norm, SALT, 9.74904, -9.01572, 0.0205, 0.018069132857789685, 53979.74, 54046.74, 34.983385909879004, 0.011211385338195236, 10.279706103453293, 0.0008070475039513622, 53976.03701030585, 0.07659775912907207, -1.4058483076582085, 0.01678495839847427, 0.004723381070307614, 0.0030285974788911403, 16.416666666666664, 0.0295
2008gg, CSP, norm, SALT, 21.346, -18.17244, 0.032, 0.030998325302056675, 54753.63, 54827.57, 35.79709372856085, 0.005302552512207545, 11.850745409234504, 0.0015379705707240455, 54752.09000060626, 8.686765795573592e-08, 0.6122125474341911, 0.013001298926008098, 0.14961987081459388, 0.0014836356629159334, 17.121041666666667, 0.012000000000000002
2004ey, CSP, norm, SALT, 327.28254, 0.44422, 0.0158, 0.013947643334699921, 53295.53, 53358.55, 34.42135902212733, 0.0028992340295705293, 10.56345194549921, 0.0015268614043546201, 53304.96483345356, 0.008878940898284782, 0.26006439805504544, 0.007766815008988237, 0.10829161850239483, 0.0008124263527781956, 15.518720588235293, 0.010294117647058827
2007bd, CSP, norm, SALT, 127.88867, -1.19944, 0.0309, 0.03210013508059541, 54197.53, 54259.46, 35.939611635961015, 0.007832064257550574, 10.638096124340995, 0.001086444267768327, 54207.312665153826, 0.013277033107442548, -0.8724423566434059, 0.01674189836189527, -0.0001426322039080324, 0.002274431483768033, 16.98721052631579, 0.036842105263157905
2008C, CSP, norm, SALT, 104.29804, 20.43714, 0.0166, 0.01690390318753824, 54469.81, 54552.5, 34.544093719885524, 0.014102041067540374, 10.028240434860418, 0.0010325410340992131, 54467.39380422134, 0.11750586591733736, -0.5051782490342127, 0.04406299581348749, 0.2582715990363634, 0.003430480633106142, 16.182466666666667, 0.021000000000000005
2005ag, CSP, norm, SALT, 224.18187, 9.32847, 0.0797, 0.08049898785417228, 53412.82, 53480.84, 37.93975059593704, 0.009153208179894715, 10.925112928401077, 0.0019752075735155416, 53415.233951667506, 0.07461939239146886, 0.4001187116880345, 0.03503871805980274, 0.044427992107235664, 0.0023133964926462768, 18.698860465116283, 0.017488372093023254
2009ad, CSP, norm, SALT, 75.88908, 6.65992, 0.0284, 0.02808883617616276, 54878.6, 54921.53, 35.66580649426828, 0.00550999190201232, 10.572115334741166, 0.0016543456909347244, 54887.03088426212, 0.013783656315354165, 0.3182183698484853, 0.015618920455776064, 0.12458936008038544, 0.0015315498506221022, 16.9271, 0.02542
2006et, CSP, norm, SALT, 10.69092, -23.55844, 0.0226, 0.02097459451619604, 53982.63, 54099.54, 34.95592148588831, 0.005218162499399527, 10.743674520559422, 0.0005834478835465598, 53994.771842485214, 0.01463519631215604, 0.8050686178296218, 0.014320133388475154, 0.2188642599535547, 0.0014402115169677087, 16.275299999999998, 0.016400000000000005
2004ef, CSP, norm, SALT, 340.54175, 19.99456, 0.031, 0.029546128591910015, 53255.69, 53329.57, 35.78545818444365, 0.0028306391899113404, 11.171477203958151, 0.0011960801888627102, 53264.702593496906, 0.005622467626380967, -1.378715243645352, 0.006320067240154215, 0.1635136745352338, 0.0008214736585531132, 17.256610169491527, 0.011864406779661017
2005iq, CSP, norm, SALT, 359.63542, -18.70917, 0.034, 0.032251788357098965, 53682.55, 53755.55, 36.21826083650192, 0.00685336228104359, 10.473486783488507, 0.0010851817442867103, 53688.291131820486, 0.01735514897518442, -0.988204059600164, 0.0209028627230487, -0.030355715297711344, 0.0018784078502519532, 17.245134615384618, 0.035519230769230775
2005hc, CSP, norm, SALT, 29.19975, -0.21367, 0.0459, 0.043941378253992865, 53661.67, 53755.61, 36.859309435013316, 0.006504884948255402, 10.515068680685955, 0.001628408532041829, 53668.09381488675, 0.03499765312881209, 0.9502020949555734, 0.023717314937538037, 0.04772652333294314, 0.0016970084527174042, 17.79508695652174, 0.03210869565217391
2006hx, CSP, norm, SALT, 18.48879, 0.37167, 0.0455, 0.043686906440237296, 54012.66, 54080.59, 36.513222404512845, 0.02446316237130065, 10.307434104151445, 0.0019476582498743804, 54022.41361864875, 0.04342410370736616, -0.10299785832549646, 0.053888038896548474, 0.1784911623090342, 0.006952411850954627, nan, nan
2006fw, CSP, norm, SALT, 26.79308, -0.147, 0.0835, 0.08215156301069632, 54001.75, 54039.73, 37.82373869564629, 0.02165109465159967, 9.842210908409118, 0.010122714041069385, 54004.66542633904, 0.11560924811419682, -0.6598805472573088, 0.07555962346532302, 0.21544353667728747, 0.005744955249352662, 19.228333333333335, 0.020916666666666667
2007jg, CSP, norm, SALT, 52.46175, 0.05683, 0.0371, 0.03563979279026823, 54363.82, 54425.78, 36.60516090675818, 0.009389958452766817, 8.983217199440995, 0.01518488169616929, 54366.8411449651, 0.04762657695391681, -0.34328154251953735, 0.033859087802729226, 0.135339298355409, 0.0024642584365726873, 17.761333333333333, 0.014933333333333335
2006ef, CSP, norm, SALT, 31.08129, -8.72839, 0.0179, 0.016221363002316445, 53979.9, 54040.71, 34.75255736639614, 0.008745046252934222, 10.419862861063349, 0.00045399600933094614, 53969.92944691729, 0.04050432354779332, -1.3896538105012435, 0.013916937671513141, -0.017298436417545745, 0.0022898234869106826, nan, nan
2008bq, CSP, norm, SALT, 100.26046, -38.03861, 0.034, 0.035317653163151205, 54562.49, 54606.46, 36.010879624830324, 0.005816726067143778, 11.946576632579085, 0.16059414092674737, 54563.973680566254, 0.0386315265459416, 0.450897432173345, 0.020103358024526896, 0.17803217027438092, 0.0014895195503429515, 17.28546153846154, 0.01819230769230769
2007bc, CSP, norm, SALT, 169.81071, 20.80903, 0.0208, 0.022560118859958532, 54196.65, 54259.53, 34.94858311864529, 0.006106467735187609, 9.927081146965973, 0.000229581880906585, 54200.86063444116, 0.03219643153715879, -1.0544776059555305, 0.014406729535364704, 0.08357331202194364, 0.0017697352590514074, 16.244771428571426, 0.018428571428571426
2008fr, CSP, norm, SALT, 17.95475, 14.64083, 0.0397, 0.038116423446854286, 54738.78, 54807.57, 36.45313068790084, 0.00868039197360854, 8.327633544884216, 0.02003794312800088, 54737.64501747291, 1.1302072380203754e-06, 0.03863280693542359, 0.019601926174160345, 0.054960893196030314, 0.002449788632975973, 17.905615384615388, 0.04
2005kc, CSP, norm, SNPY, 338.53058, 5.56842, 0.0151, 0.01329364736220897, 53687.52, 53728.54, 33.93507156764404, 0.015948964112905424, 10.860521014844817, 0.00028121941506437646, 53698.29898521293, 0.0637936283033478, 0.9001749973559647, 0.008645429881053539, 0.33593672835687377, 0.008733462128168864, 15.930104166666666, 0.016770833333333336
2006ev, CSP, norm, SNPY, 322.74692, 13.98922, 0.0287, 0.027057648172410083, 53993.59, 54039.52, 35.6419828612548, 0.012547661895696553, 10.748696257484479, 0.0007780565778547196, 53990.08334818404, 0.23498152283734472, 0.8450281177792285, 0.007341677530710036, 0.22254397546609048, 0.008798768325739916, 17.527727272727272, 0.05054545454545455
2006gj, CSP, norm, SNPY, 49.39917, -1.69172, 0.0284, 0.027522378443683507, 53998.83, 54096.59, 35.618713747751336, 0.0127509215064516, 10.669635209313917, 0.0012479558890463075, 54001.0212778491, 0.07149184066932232, 0.6513950308888747, 0.008874470742631419, 0.26797332256934187, 0.011508553587789492, 17.846, 0.02627272727272727
2007ol, CSP, norm, SNPY, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, 37.13344647141549, 0.0626700561866543, 10.289335360151146, 0.0023866700569406345, 54413.53685947355, 0.22378406190058497, 0.7154493344511198, 0.04302679663927745, -0.08972177462595989, 0.046003077424151315, 18.273368421052634, 0.032421052631578955
2008go, CSP, norm, SNPY, 332.68679, -20.78811, 0.0623, 0.06071935029480737, 54764.54, 54776.58, 36.978409834014705, 0.025412143506163495, 10.908950503065558, 0.0017321529641886853, 54766.36885799392, 0.26642419233238207, 0.9096621975191139, 0.031946667547639196, 0.11190295890476666, 0.012049192356247755, 18.461103448275864, 0.028586206896551718
