2007as 0.0176 141.90004199999996 -80.17755599999997
filter B
54181.7 15.972 0.005
54182.72 15.994 0.006
54185.62 16.103 0.006
54190.7 16.478 0.008
54194.57 16.925 0.009
54203.75 17.996 0.011
54207.58 18.357 0.012
54213.53 18.782 0.02
54218.61 19.034 0.04
54224.53 19.136 0.044
54227.6 19.207 0.041
54229.55 19.254 0.023
54231.58 19.204 0.02
54236.5 19.302 0.033
54239.52 19.356 0.022
54243.56 19.402 0.032
54245.53 19.379 0.04
54259.49 19.604 0.035
filter V
54181.7 15.822 0.004
54182.72 15.806 0.006
54185.62 15.829 0.004
54190.7 16.039 0.005
54194.57 16.316 0.006
54197.59 16.515 0.006
54203.75 16.852 0.006
54207.58 17.123 0.008
54213.53 17.583 0.008
54218.61 17.84 0.013
54224.53 18.023 0.017
54227.6 18.112 0.015
54229.55 18.201 0.013
54231.58 18.246 0.016
54236.5 18.396 0.025
54239.52 18.466 0.013
54243.56 18.614 0.021
54245.53 18.624 0.017
54259.49 18.94 0.02
filter g
54181.7 15.862 0.006
54182.72 15.858 0.007
54185.62 15.94 0.005
54190.7 16.236 0.005
54194.57 16.58 0.006
54197.59 16.877 0.007
54203.75 17.489 0.008
54207.58 17.883 0.011
54213.53 18.356 0.011
54218.61 18.537 0.019
54224.53 18.724 0.025
54227.6 18.745 0.022
54229.55 18.83 0.013
54231.58 18.8 0.01
54236.5 18.927 0.012
54239.52 18.941 0.015
54243.56 19.009 0.018
54245.53 19.058 0.023
54259.49 19.248 0.017
filter i
54181.7 16.318 0.006
54182.72 16.337 0.008
54185.62 16.383 0.006
54190.7 16.837 0.007
54194.57 17.099 0.009
54197.59 17.103 0.009
54203.75 16.865 0.007
54207.58 16.798 0.007
54213.53 17.238 0.008
54218.61 17.576 0.011
54224.53 17.869 0.011
54227.6 18.023 0.016
54229.55 18.112 0.012
54231.58 18.2 0.015
54236.5 18.402 0.019
54239.52 18.523 0.025
54243.56 18.678 0.026
54245.53 18.774 0.027
54259.49 19.232 0.043
filter r
54181.7 15.732 0.006
54182.72 15.713 0.006
54185.62 15.729 0.005
54190.7 16.076 0.005
54194.57 16.378 0.006
54197.59 16.474 0.007
54203.75 16.523 0.007
54207.58 16.675 0.007
54213.53 17.141 0.008
54218.61 17.433 0.009
54224.53 17.648 0.011
54227.6 17.76 0.01
54229.55 17.829 0.009
54231.58 17.877 0.01
54236.5 18.069 0.011
54239.52 18.184 0.01
54243.56 18.336 0.014
54245.53 18.377 0.015
54259.49 18.836 0.018
