2008bf 0.0235 181.012083 20.245167000000002
filter B
54547.73 16.21 0.01
54548.74 16.105 0.009
54551.73 15.879 0.008
54552.73 15.838 0.006
54558.68 15.89 0.007
54560.69 15.993 0.006
54562.69 16.116 0.008
54564.7 16.257 0.007
54566.71 16.426 0.007
54568.69 16.614 0.008
54569.68 16.725 0.007
54570.64 16.825 0.008
54571.69 16.938 0.009
54573.67 17.132 0.012
54575.63 17.359 0.013
54576.65 17.454 0.014
54580.68 17.846 0.013
54587.66 18.422 0.013
54589.65 18.536 0.013
54591.62 18.629 0.014
54595.61 18.79 0.014
54606.57 19.108 0.046
54616.55 19.195 0.019
54626.51 19.373 0.029
54628.52 19.381 0.097
54644.49 19.639 0.03
54646.49 19.618 0.018
filter V
54547.73 16.292 0.009
54548.74 16.16 0.008
54551.73 15.943 0.007
54552.73 15.892 0.006
54558.68 15.862 0.008
54560.69 15.926 0.006
54562.69 15.995 0.008
54564.7 16.095 0.006
54566.71 16.192 0.007
54568.69 16.309 0.009
54569.68 16.369 0.007
54570.64 16.43 0.007
54571.69 16.504 0.008
54573.67 16.601 0.009
54575.63 16.695 0.009
54576.65 16.757 0.012
54580.68 16.999 0.008
54587.66 17.413 0.008
54589.65 17.558 0.01
54591.62 17.656 0.01
54595.61 17.858 0.01
54606.57 18.218 0.017
54616.55 18.474 0.015
54626.51 18.737 0.018
54628.52 18.756 0.019
54644.49 19.128 0.021
54646.49 19.169 0.018
filter g
54547.73 16.173 0.01
54548.74 16.031 0.008
54551.73 15.814 0.008
54552.73 15.765 0.007
54558.68 15.782 0.009
54560.69 15.871 0.008
54562.69 15.97 0.008
54564.7 16.074 0.009
54566.71 16.219 0.009
54568.69 16.368 0.007
54569.68 16.458 0.008
54570.64 16.542 0.007
54571.69 16.642 0.008
54573.67 16.804 0.009
54575.63 16.983 0.01
54576.65 17.076 0.01
54580.68 17.446 0.01
54587.66 17.999 0.01
54589.65 18.128 0.011
54591.62 18.242 0.012
54595.61 18.404 0.011
54606.57 18.709 0.024
54616.55 18.866 0.016
54626.51 19.008 0.016
54628.52 19.032 0.025
54644.49 19.285 0.017
54646.49 19.334 0.017
filter i
54547.73 16.637 0.011
54548.74 16.52 0.01
54551.73 16.451 0.011
54552.73 16.465 0.011
54558.68 16.634 0.013
54560.69 16.711 0.014
54562.69 16.828 0.014
54564.7 16.965 0.015
54566.71 17.172 0.014
54568.69 17.325 0.011
54569.68 17.356 0.017
54570.64 17.38 0.018
54571.69 17.38 0.016
54573.67 17.356 0.016
54575.63 17.299 0.014
54576.65 17.297 0.013
54580.68 17.211 0.016
54587.66 17.212 0.015
54589.65 17.302 0.018
54591.62 17.434 0.017
54595.61 17.672 0.019
54606.57 18.228 0.029
54616.55 18.563 0.048
54626.51 18.928 0.048
54628.52 19.038 0.034
54644.49 19.562 0.1
54646.49 19.635 0.058
filter r
54547.73 16.339 0.009
54548.74 16.216 0.006
54551.73 15.996 0.007
54552.73 15.949 0.006
54558.68 15.904 0.008
54560.69 15.962 0.008
54562.69 16.067 0.009
54564.7 16.185 0.007
54566.71 16.337 0.009
54568.69 16.468 0.007
54569.68 16.513 0.008
54570.64 16.569 0.006
54571.69 16.59 0.007
54573.67 16.659 0.008
54575.63 16.692 0.009
54576.65 16.703 0.009
54580.68 16.776 0.008
54587.66 17.042 0.009
54589.65 17.171 0.009
54591.62 17.297 0.01
54595.61 17.516 0.011
54606.57 17.93 0.015
54616.55 18.243 0.016
54626.51 18.532 0.017
54628.52 18.624 0.016
54644.49 19.123 0.031
54646.49 19.177 0.02
