ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60050.630556,18.983,0.229,93.0,21.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60078.620406,18.801,0.23,110.0,25.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60086.5211,19.778,0.319,44.0,14.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60086.524264,19.895,0.295,40.0,12.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60086.540228,19.511,0.248,57.0,14.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60086.553505,19.529,0.292,56.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60088.587584,19.454,0.213,60.0,13.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60088.591009,19.628,0.272,51.0,14.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60088.607429,19.558,0.262,55.0,14.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60088.611921,19.339,0.239,67.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60090.536171,20.131,0.564,32.0,18.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60090.543575,19.444,0.273,61.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60090.560454,20.038,0.444,35.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60090.567982,19.375,0.254,65.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60091.536218,19.301,0.234,69.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60091.561445,19.573,0.276,54.0,15.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60091.563256,19.592,0.324,53.0,17.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60091.584004,20.368,0.55,26.0,14.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60092.531831,18.201,0.344,190.0,65.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60094.560645,19.2,0.352,76.0,27.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60094.570687,19.568,0.247,54.0,13.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60094.581214,19.351,0.203,66.0,13.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60096.528921,18.621,0.307,129.0,40.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60096.544447,18.728,0.649,117.0,76.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60100.519643,19.501,0.532,58.0,31.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60100.545739,19.459,0.41,60.0,24.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60102.533524,19.949,0.493,38.0,19.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60102.551797,19.858,0.379,41.0,16.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60104.518596,20.032,0.5,35.0,18.0,23.9,o
320.91415,39.58093,0.027000,None,2023-04-16 14:30:08.928,60104.531855,19.83,0.461,42.0,20.0,23.9,o
