# Created by M.D. Woods -- 2025-05-16 14:04:22.207142 -- NUM TARGETS: 22
objname, origin, subtype, algo, ra, dec, z, z_err, z_cmb, MJDs, MJDe, chisquare, chisquare_err, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2008bd, CSP, 91bg, SNPY, 154.59716700000004, -13.103111, 0.0301, None, 0.031300703090299295, 54541.7, 54592.62, 104.6204655906562, 2.0119320305895423, 35.91771334018329, 0.10582612307698364, 11.066906876654066, 0.1000038057686489, 54526.07278292209, 0.7790033368101698, 0.6184691920898545, 0.039331151991573714, 0.019907712525009738, 0.04216089003753453, nan, nan, nan, nan
2008bt, CSP, 91bg, SNPY, 162.57033299999998, -12.108889, 0.0154, None, 0.016446211765812194, 54571.61, 54651.47, 209.44556118221809, 3.222239402803355, 34.18119129724789, 0.10170181898627632, 10.724456328263154, 0.10000135516328265, 54572.730898297676, 0.07993340075724475, 0.4880221612022577, 0.0089882568284852, 0.24381036029230735, 0.014823473032495217, nan, nan, 16.595466666666667, 0.008
2005bl, CSP, 91bg, SNPY, 181.05108300000003, 20.406889000000003, 0.0241, None, 0.02475539637032309, 53476.61, 53512.57, 898.0194413707665, 16.943763044731444, 35.376558795101616, 0.112573217832764, 8.920765377315602, 0.10154508129306831, 53483.061566269665, 0.11832479044044455, 0.39736455927405684, 0.015099396981223964, 0.2985556023790954, 0.034430353612992536, nan, nan, 18.29534482758621, 0.02248275862068966
2006gt, CSP, 91bg, SNPY, 14.072082999999997, -1.6294440000000001, 0.0448, None, 0.042419119009330715, 54001.67, 54076.62, 102.77294936445885, 1.835231238651051, 36.47057192165508, 0.1013097479658334, 10.111136946318842, 0.10007031112374888, 54004.00019409425, 0.07989098928006023, 0.5649520092456233, 0.010493735679336482, 0.04694118915854664, 0.014899599520920305, nan, nan, 18.3119, 0.012400000000000003
2022xhh, ZTF, 91bg, SNPY, 64.1733759834313, -12.18359033747551, 0.0315, None, 0.03103043269419672, 59861.36304400023, 59909.25232640002, 77.95391938089568, 3.7120913990902706, 35.62378492207851, 0.12886816480420224, 10.79645631191364, 0.10001446906806169, 59867.80357804027, 0.29939697525533965, 0.4529791814772828, 0.02999300395115358, 0.2745804692340511, 0.05549100522887113, nan, nan, 18.2957166609346, 0.05411434689992795
2022zvu, ATLAS-ZTF, 91bg, SNPY, 148.46274768518518, -7.792681851851853, 0.019323, None, 0.02048317006263684, 58440.477303199936, 60290.44137729984, 219.77902849828078, 4.485286295883281, 34.917969784793414, 0.10860355307724837, 10.542607440652626, 0.10000732002929132, 59896.13942386288, 0.25696426666274463, 0.5808621681040503, 0.023108982110114796, 0.2310794502621511, 0.049213374611538144, nan, nan, 17.116953722275206, 0.06010173789622888
2021wzb, ATLAS-ZTF, 91bg, SNPY, 72.7672504395642, -5.956896277494132, 0.0478, None, 0.046675273929733814, 59436.612842, 59546.452691, 231.37563128992366, 1.7798125483840281, 36.66808074750386, 0.10596791133844542, 11.289712997692881, 0.10000282777507162, 59456.18195182389, 0.2098697203529853, 0.5254214841584378, 0.017246879684383366, 0.11069110546592303, 0.03816757985347997, nan, nan, 18.79681097739298, 0.056632583460847014
2018lph, ATLAS-ZTF, 91bg, SNPY, 250.9022406921677, 33.53360000000001, 0.08, None, 0.07984945053179024, 58205.647533, 58393.297999, 1143.3479087093679, 6.387418484409876, 37.645124258004344, 0.13685905553156796, 10.34149581173226, 0.10009659970873123, 58311.253003761245, 0.3387287792488848, 0.6427636971764122, 0.04740857851268196, 0.1470755743790462, 0.039652055008690845, nan, nan, 19.329727081282904, 0.06704715575058835
2021bls, ATLAS-ZTF, 91bg, SNPY, 250.83637047413785, 61.594868103448285, 0.019, None, 0.018644897853909256, 59222.664366, 59346.480949, 334.762030899456, 2.988946704459429, 34.81199914955291, 0.10347900856924488, 10.690134763061476, 0.10000092212992924, 59246.62188975374, 0.1362902280725058, 0.347428099762382, 0.010241569730355008, 0.13712494625117166, 0.024815027074234962, nan, nan, 17.489486643388844, 0.015503706173399742
2021abzd, ATLAS-ZTF, 91bg, SNPY, 10.89953921052631, 30.59232070175438, 0.018086, None, 0.015988894031879475, 59409.601619, 59607.229114, 299.94256040555024, 3.447615636845405, 34.50645810087211, 0.10170652974673661, 10.78600418510209, 0.10000154549130673, 59519.050235177754, 0.09432785724617143, 0.5670605767454209, 0.011274852623905714, 0.08156818199402202, 0.018850490828271907, nan, nan, 16.387379115171175, 0.00795553717295239
2019moq, ATLAS-ZTF, 91bg, SNPY, 6.615455750604617, 38.12324471417334, 0.0596, None, 0.05797160944652149, 58654.518503, 58784.457878, 425.5692460152225, 2.563670156718208, 37.36427425550681, 0.10509067897470911, 10.979192644467481, 0.10011355431392452, 58695.366015216016, 0.1428461292326794, 0.8121872529535593, 0.02171284886863802, 0.18922008993483289, 0.018294403226681837, nan, nan, 18.845891894607025, 0.03328966313634356
2021cad, ATLAS-ZTF, 91bg, SNPY, 163.93943220512799, 24.027657059829092, 0.041546, None, 0.042196638460227906, 58837.5167824002, 60410.15662040003, 386.9121509961705, 6.342822147478205, 36.411210848678564, 0.12575802961128282, 10.358143010854041, 0.10001149391702029, 59250.34766264585, 0.3631377006537116, 0.344518938995377, 0.026097836646261533, -0.020612119400115658, 0.05539329676445092, nan, nan, 18.834584087041492, 0.10025997895726466
2020abpe, ATLAS-ZTF, 91bg, SNPY, 24.10233122549018, 22.04980102124184, 0.05, None, 0.04819889540951435, 59093.463672, 59251.284526, 132.07656677969734, 2.063696355932771, 36.44081780839058, 0.13312580956730902, 10.649515955931236, 0.10004282898737381, 59193.56422158355, 0.35020064633650605, 0.5004465468031971, 0.032758805262272414, 0.2763975557355793, 0.05124997613938097, nan, nan, 18.88938276490794, 0.06442620940256504
2020nta, ATLAS-ZTF, 91bg, SNPY, 241.84728750000005, 13.892695370370362, 0.033953, None, 0.03560230376577604, 58931.549389, 59123.256302, 104.65000846513442, 0.8577869546322493, 36.53693055725703, 0.11616378570449414, 10.968085313226508, 0.1000018042109973, 59032.55173068009, 0.19274458581029238, 0.26355836196211346, 0.00560920518383087, -0.19720680752406294, 0.05091320084794388, nan, nan, 19.114845612847752, 0.2290286923255476
2021qqr, ATLAS-ZTF, 91bg, SNPY, 257.3738179076479, -22.44768755892256, 0.030955, None, 0.02955232384559172, 59319.517416, 59483.254202, 208.21022139177188, 0.9172256448976734, 35.73578440502726, 0.11096921183958747, 10.790195816815043, 0.10001431158775499, 59391.94852104182, 0.24421123930478414, 0.5274565407777797, 0.02264714402882755, -0.2910277263738418, 0.05141740715280678, nan, nan, 18.467650708529487, 0.15194599130643943
2021uef, ATLAS-ZTF, 91bg, SNPY, 297.401799509804, 42.23985032679738, 0.0304, None, 0.028759726802269486, 59322.565361, 59522.276538, 271.2925878398896, 1.8207556230865076, 35.31676320403778, 0.13729800344230692, 10.32612457784449, 0.1000933718060394, 59431.02276780399, 0.19789573813133726, 0.48035349337574185, 0.02645609165384187, 0.28491682391084044, 0.03427770008159185, nan, nan, 19.153258120755158, 0.037877363825662966
2019luv, ATLAS-ZTF, 91bg, SNPY, 328.81252804878056, -12.148990650406496, 0.06, None, 0.05880631469696544, 58618.59448, 58784.22438, 181.79314448251307, 2.330681339519398, 37.13220622467359, 0.1307571453057374, 9.828101197306356, 0.10019241867042751, 58690.63469370307, 0.5467659155772178, 0.45737914395884555, 0.043319133425836875, 0.0769351380030346, 0.08555232221012189, nan, nan, 19.331440264133484, 0.19388552778141943
2019cdc, ATLAS-ZTF, 91bg, SNPY, 212.20472968157188, 35.6142729719964, 0.02777, None, 0.028415074549489484, 58473.596864, 58664.321572, 618.9750297631883, 5.20147083834612, 35.64178578773964, 0.10738361472063253, 10.584872344449861, 0.10000646090149536, 58575.18394523257, 0.1295717655586816, 0.5968022389440888, 0.017379371362089967, -0.0184780332311041, 0.026561643916866433, nan, nan, 17.09482265169417, 0.01889196861571226
2021zsz, ATLAS-ZTF, 91bg, SNPY, 92.63880031512603, -14.538880042016814, 0.035746, None, 0.035856817324635436, 59447.629138, 59584.364674, 103.0922853643893, 0.8964546553425157, 36.3970767520172, 0.13091795739238918, 10.964851218836822, 0.10014457785128003, 59487.826651861506, 0.3057607745898663, 0.5014093910135475, 0.028582868227653112, -0.22840150500446282, 0.08920221627887466, nan, nan, 18.401835052175052, 0.18580418461232445
2023fot, ATLAS-ZTF, 91bg, SNPY, 185.44815164843695, 10.591420911753453, 0.026467, None, 0.02616774970948941, 59953.027194, 60143.959047, 145.4574217076904, 1.3722398274310414, 35.759544556741126, 0.1189975074967873, 10.60069767104924, 0.10000586248658452, 60056.25619925153, 0.10820538011592348, 0.4256116794415275, 0.016806638060419262, 0.07878751970449345, 0.024608793459768723, nan, nan, 18.10601387628847, 0.021649303527570173
2021xfm, ATLAS-ZTF, 91bg, SNPY, 318.75354999999996, 21.910099332264956, 0.04, None, 0.03891714638958965, 59353.554836, 59545.256771, 145.50852876351928, 1.4550852876351927, 36.60275756656022, 0.13201617130783114, 10.643884474652957, 0.10001961031173433, 59449.25123273929, 0.2960366733160936, 0.2609813299220045, 0.008224100892894838, -0.0027926433525396785, 0.07535520326821027, nan, nan, 19.666123538877336, 0.2925032924809673
2024luo, ATLAS-ZTF, 91bg, SNPY, 10.073999999999996, 2.7566301660280965, 0.017, None, 0.015846099079076966, 60479.400978, 60580.418263, 133.4028845765827, 1.6072636695973819, 34.45053790811228, 0.11984831865888583, 9.94823443519893, 0.10001099632887125, 60486.455834486136, 0.5553930660954514, 0.259749436656598, 0.007197215316393076, 0.06388140337163514, 0.05614851378211953, nan, nan, nan, nan
