2020dq 0.046 195.07901999999993 -33.6297
filter ATgr
58873.537233 20.551 0.47
58873.542752 20.076 0.236
58873.54647 20.038 0.28
58873.556671 19.953 0.245
58877.529774 20.128 0.322
58877.532531 20.941 0.716
58877.548702 20.579 0.483
58929.375818 20.781 0.571
filter ATri
58825.635525 20.524 0.571
58827.657055 19.524 0.742
58837.652285 20.851 0.75
58837.659058 20.282 0.818
58849.622799 19.61 0.235
58851.610212 19.527 0.198
58855.637803 19.248 0.205
58855.652104 19.34 0.177
58867.588842 19.361 0.192
58869.676432 19.012 0.578
58871.568943 19.364 0.233
58871.571812 19.308 0.193
58875.535934 19.65 0.227
58875.539185 19.495 0.216
58875.545189 19.472 0.202
58875.556244 19.555 0.234
58879.542807 20.243 0.441
58879.560651 19.854 0.252
58883.54463 19.639 0.239
58883.547864 19.883 0.373
58883.555682 19.897 0.301
58887.530791 19.459 0.547
58887.540075 19.662 0.639
58887.551444 19.913 0.732
58891.576532 19.607 0.974
58903.530188 20.473 0.518
58903.546051 20.64 0.66
58907.521939 21.0 0.817
58907.529114 21.119 0.871
58907.539265 21.228 0.908
58911.541544 20.996 0.745
58917.476679 19.227 0.907
58917.486048 18.844 0.441
58927.482908 21.061 0.835
58927.496652 20.911 0.634
58941.446619 20.981 0.966
58943.549495 18.278 0.746
58945.517136 19.168 0.656
